TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,POSS,PIE,Game_ID
1610612739,CLE,Cleveland,1630241,Sam Merrill,12.00,132,62.5,69.5,0.3,0,33.3,0,0.091,0.056,0,0.75,0.75,0.188,98,81.67,25,0.308,22400574
1610612739,CLE,Cleveland,202684,Tristan Thompson,12.00,132,62.5,69.5,0.182,0,40,0.071,0.273,0.194,0,0.667,0.667,0.094,98,81.67,25,0.308,22400574
1610612739,CLE,Cleveland,1642281,Jaylon Tyson,12.00,132,62.5,69.5,0.091,1,12.5,0.143,0.182,0.167,12.5,0.417,0.417,0.219,98,81.67,25,0.154,22400574
1610612739,CLE,Cleveland,1641854,Craig Porter Jr.,7.05,142.9,61.5,81.3,0.6,3,42.9,0.111,0,0.045,14.3,1.167,1.163,0.211,91.91,76.6,14,0.408,22400574
1610612760,OKC,Oklahoma City,1629652,Luguentz Dort,19.70,135.6,111.4,24.2,0.125,2,14.3,0,0.091,0.05,7.1,1,1,0.25,108.43,90.36,45,0.179,22400574
1610612760,OKC,Oklahoma City,1631114,Jalen Williams,30.12,144.1,101.5,42.6,0.161,0,26.3,0.038,0.172,0.109,0,0.607,0.638,0.194,108.38,90.32,68,0.153,22400574
1610612760,OKC,Oklahoma City,1631119,Jaylin Williams,14.15,135.5,116.1,19.4,0.071,0,14.3,0.143,0.167,0.156,0,0.417,0.417,0.176,105.16,87.63,31,0.028,22400574
1610612760,OKC,Oklahoma City,1641717,Cason Wallace,26.50,128.8,103.3,25.5,0.071,2,22.2,0,0.194,0.105,11.1,0.5,0.5,0.109,108.68,90.57,59,0.062,22400574
1610612760,OKC,Oklahoma City,1628983,Shai Gilgeous-Alexander,29.23,142.4,91.2,51.2,0.381,4,21.1,0,0.088,0.049,5.3,0.673,0.709,0.423,110.01,91.68,66,0.266,22400574
1610612760,OKC,Oklahoma City,1630198,Isaiah Joe,21.38,132,100,32,0,0,0,0,0.15,0.07,12.5,0.857,0.857,0.148,114.48,95.4,50,0.095,22400574
1610612760,OKC,Oklahoma City,1642382,Branden Carlson,17.45,97.2,92.1,5.1,0,0,0,0.038,0.143,0.085,0,0.688,0.688,0.186,101.78,84.81,36,0.144,22400574
1610612760,OKC,Oklahoma City,1630598,Aaron Wiggins,32.85,125.4,111,14.4,0.091,3,25,0.053,0.094,0.071,8.3,0.25,0.25,0.114,105.21,87.67,71,0.018,22400574
1610612760,OKC,Oklahoma City,1627936,Alex Caruso,13.57,160,93.5,66.5,0.133,0,33.3,0,0.111,0.05,0,1.333,1.289,0.129,107.91,89.93,30,0.182,22400574
1610612760,OKC,Oklahoma City,1629026,Kenrich Williams,11.72,123.1,123.1,0,0.182,0,40,0,0.125,0.048,0,0.333,0.333,0.107,106.51,88.76,26,0.067,22400574
1610612760,OKC,Oklahoma City,1631172,Ousmane Dieng,9.23,72.2,122.2,-50,0,0,0,0.059,0.077,0.067,0,0.333,0.387,0.174,93.57,77.98,18,0.053,22400574
1610612760,OKC,Oklahoma City,1642505,Alex Ducas,7.05,61.5,142.9,-81.3,0,0,0,0.077,0,0.045,0,0,0,0.059,91.91,76.6,13,-0.061,22400574
1610612760,OKC,Oklahoma City,1641745,Adam Flagler,7.05,61.5,142.9,-81.3,0,0,0,0,0,0,0,0,0,0.529,91.91,76.6,13,-0.347,22400574
1610612754,IND,Indiana,1631097,Bennedict Mathurin,33.13,105.8,88.1,17.7,0.12,3,15,0,0.075,0.04,5,0.4,0.378,0.221,98.53,82.11,69,0.021,22400543
1610612754,IND,Indiana,1627783,Pascal Siakam,31.05,101.6,92.1,9.5,0.111,2,8.3,0.079,0.167,0.122,4.2,0.381,0.411,0.297,97.39,81.16,63,0.134,22400543
1610612754,IND,Indiana,1626167,Myles Turner,28.63,105.1,100,5.1,0.053,0,7.7,0.088,0.233,0.156,0,0.6,0.615,0.182,98.91,82.42,59,0.121,22400543
1610612754,IND,Indiana,1629614,Andrew Nembhard,28.17,96.6,105.3,-8.7,0.286,1.33,20,0,0.071,0.032,15,0.727,0.745,0.246,97.99,81.66,58,0.154,22400543
1610612754,IND,Indiana,1630169,Tyrese Haliburton,18.50,86.5,124.3,-37.8,0.455,5,45.5,0,0.063,0.024,9.1,0.2,0.2,0.143,96,80,37,0.053,22400543
1610612754,IND,Indiana,1630167,Obi Toppin,17.53,110.3,86.8,23.4,0.083,1,8.3,0,0.118,0.053,8.3,0.55,0.551,0.262,105.4,87.83,39,0.132,22400543
1610612754,IND,Indiana,1641767,Ben Sheppard,22.23,110.2,89.6,20.6,0.143,3,37.5,0,0.091,0.047,12.5,0.625,0.625,0.094,104.68,87.23,49,0.054,22400543
1610612754,IND,Indiana,204456,T.J. McConnell,17.12,115.4,71.1,44.3,0.471,4,47.1,0,0.182,0.1,11.8,0.333,0.436,0.205,107.96,89.97,39,0.156,22400543
1610612754,IND,Indiana,1628418,Thomas Bryant,19.37,112.2,82.9,29.3,0.071,0,16.7,0.05,0.091,0.071,0,1.1,1.011,0.109,101.62,84.68,41,0.174,22400543
1610612754,IND,Indiana,1641716,Jarace Walker,21.53,136.4,86.7,49.7,0.105,0,28.6,0.095,0.4,0.261,0,0.8,0.8,0.102,99.2,82.66,44,0.206,22400543
1610612754,IND,Indiana,1642277,Johnny Furphy,2.73,100,140,-40,0,0,0,0,1,0.667,0,0,0,0,87.8,73.17,5,0.065,22400543
1610612739,CLE,Cleveland,1629731,Dean Wade,20.83,88.1,104.8,-16.7,0.083,0,16.7,0.043,0.296,0.18,0,0.3,0.3,0.109,96.8,80.67,42,0.108,22400543
