TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,Player_ID,PLAYER_NAME,MINS,SPD,DIST,TCHS,PASS,CFGA,UFGA,DFGA,Game_ID
1610612742,DAL,Dallas,202691,Klay Thompson,34.07,4.32,2.52,44,17,8,19,2,22400897
1610612742,DAL,Dallas,1630230,Naji Marshall,32.28,4.25,2.42,69,47,9,9,3,22400897
1610612742,DAL,Dallas,203939,Dwight Powell,23.78,4.36,1.77,49,44,3,1,5,22400897
1610612742,DAL,Dallas,1631108,Max Christie,35.95,4.3,2.67,61,43,2,14,2,22400897
1610612742,DAL,Dallas,203915,Spencer Dinwiddie,29.45,3.92,2.03,45,36,2,5,4,22400897
1610612742,DAL,Dallas,1630314,Brandon Williams,34.17,4.58,2.75,75,57,7,8,5,22400897
1610612742,DAL,Dallas,1630556,Kessler Edwards,25.52,4.48,2,29,24,0,4,3,22400897
1610612742,DAL,Dallas,1641765,Olivier-Maxence Prosper,24.78,4.66,2.05,31,21,2,5,3,22400897
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,26.67,4.44,2.05,26,13,6,3,3,22400897
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,24.83,4.08,1.75,59,32,10,10,2,22400897
1610612749,MIL,Milwaukee,201572,Brook Lopez,22.98,3.88,1.54,17,15,1,0,3,22400897
1610612749,MIL,Milwaukee,1627752,Taurean Prince,29.45,4.05,2.07,29,20,1,5,3,22400897
1610612749,MIL,Milwaukee,203081,Damian Lillard,26.73,4.2,1.94,51,32,2,13,1,22400897
1610612749,MIL,Milwaukee,1631260,AJ Green,30.88,4.59,2.47,38,27,1,8,4,22400897
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,26.20,4.61,2.11,70,52,2,9,3,22400897
1610612749,MIL,Milwaukee,1630579,Jericho Sims,20.45,4.53,1.61,34,28,3,2,7,22400897
1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,9.05,4.73,0.75,17,9,1,6,0,22400897
1610612749,MIL,Milwaukee,1641753,Chris Livingston,9.05,4.65,0.74,9,7,0,1,0,22400897
1610612749,MIL,Milwaukee,1630649,Stanley Umude,4.57,4.36,0.37,8,5,1,2,1,22400897
1610612749,MIL,Milwaukee,1631123,Jamaree Bouyea,4.57,4.32,0.36,10,7,1,0,0,22400897
1610612749,MIL,Milwaukee,1641890,Tyler Smith,4.57,4.63,0.39,5,4,0,1,0,22400897
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,33.50,4.44,2.66,55,40,4,6,3,22400884
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,33.82,4.4,2.59,85,59,9,9,2,22400884
1610612749,MIL,Milwaukee,201572,Brook Lopez,33.38,4.14,2.41,52,33,6,8,10,22400884
1610612749,MIL,Milwaukee,1627752,Taurean Prince,28.78,4.35,2.24,42,30,4,5,2,22400884
1610612749,MIL,Milwaukee,203081,Damian Lillard,36.12,4.21,2.69,80,59,5,13,2,22400884
1610612749,MIL,Milwaukee,1631260,AJ Green,23.33,4.65,1.89,32,23,1,7,1,22400884
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,24.57,4.24,1.82,23,11,3,7,2,22400884
1610612749,MIL,Milwaukee,1630579,Jericho Sims,14.62,4.69,1.24,27,24,2,0,4,22400884
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,11.88,4.78,0.99,25,14,3,4,3,22400884
1610612737,ATL,Atlanta,1642258,Zaccharie Risacher,24.98,5.01,2.17,34,24,4,6,6,22400884
1610612737,ATL,Atlanta,1631243,Mouhamed Gueye,25.22,4.74,2.08,30,22,2,5,4,22400884
1610612737,ATL,Atlanta,1630168,Onyeka Okongwu,27.45,4.4,2.11,41,33,5,2,3,22400884
1610612737,ATL,Atlanta,1630700,Dyson Daniels,33.52,4.67,2.73,72,53,7,7,7,22400884
1610612737,ATL,Atlanta,1629027,Trae Young,35.42,4.3,2.7,81,47,9,15,2,22400884
1610612737,ATL,Atlanta,1627747,Caris LeVert,29.03,4.54,2.35,34,20,4,9,5,22400884
1610612737,ATL,Atlanta,203991,Clint Capela,20.55,4.25,1.56,36,28,7,1,6,22400884
1610612737,ATL,Atlanta,1627777,Georges Niang,22.70,4.35,1.76,34,23,1,10,0,22400884
1610612737,ATL,Atlanta,1629611,Terance Mann,21.15,4.49,1.7,31,20,1,6,2,22400884
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,31.92,4.47,2.51,52,38,5,5,5,22400865
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,32.03,4.09,2.31,82,61,6,8,2,22400865
1610612749,MIL,Milwaukee,201572,Brook Lopez,29.40,3.94,2.06,34,23,4,6,7,22400865
1610612749,MIL,Milwaukee,1627752,Taurean Prince,30.95,3.99,2.18,36,26,2,6,3,22400865
1610612749,MIL,Milwaukee,203081,Damian Lillard,35.60,4.05,2.55,85,60,3,14,2,22400865
1610612749,MIL,Milwaukee,1631260,AJ Green,18.73,4.51,1.51,20,15,0,3,1,22400865
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,30.37,4.06,2.2,41,23,3,13,2,22400865
1610612749,MIL,Milwaukee,1630579,Jericho Sims,18.60,4.45,1.45,32,27,3,0,3,22400865
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,12.40,4.59,1.01,28,15,1,5,1,22400865
1610612742,DAL,Dallas,202691,Klay Thompson,28.57,4.34,2.17,32,16,3,11,1,22400865
1610612742,DAL,Dallas,1629023,P.J. Washington,15.35,4.36,1.16,32,23,3,5,2,22400865
1610612742,DAL,Dallas,1629650,Moses Brown,21.83,4.45,1.7,31,20,7,2,7,22400865
1610612742,DAL,Dallas,1631108,Max Christie,26.78,4.54,2.13,39,32,0,6,2,22400865
1610612742,DAL,Dallas,202681,Kyrie Irving,38.43,3.95,2.68,72,41,9,14,2,22400865
1610612742,DAL,Dallas,203939,Dwight Powell,12.32,4.61,1.04,30,27,0,1,4,22400865
1610612742,DAL,Dallas,203957,DantÃ© Exum,11.33,4.79,0.98,22,17,2,1,0,22400865
1610612742,DAL,Dallas,1630230,Naji Marshall,29.50,4.22,2.24,46,36,1,6,2,22400865
1610612742,DAL,Dallas,203915,Spencer Dinwiddie,20.47,4.22,1.55,35,22,7,2,0,22400865
1610612742,DAL,Dallas,1630702,Jaden Hardy,21.57,4.33,1.66,36,26,0,10,2,22400865
1610612742,DAL,Dallas,1641765,Olivier-Maxence Prosper,13.85,4.49,1.09,7,6,0,1,2,22400865
1610612743,DEN,Denver,1629008,Michael Porter Jr.,35.03,4.16,2.6,54,31,10,12,9,22400846
1610612743,DEN,Denver,203932,Aaron Gordon,32.85,4.16,2.44,45,29,4,9,5,22400846
1610612743,DEN,Denver,203999,Nikola JokiÄ‡,37.52,4.13,2.77,112,84,10,6,6,22400846
1610612743,DEN,Denver,1631128,Christian Braun,31.18,4.58,2.58,46,32,7,4,1,22400846
1610612743,DEN,Denver,1627750,Jamal Murray,39.63,4.24,2.96,67,43,11,9,3,22400846
1610612743,DEN,Denver,201566,Russell Westbrook,25.18,4.02,1.77,43,29,5,8,0,22400846
1610612743,DEN,Denver,1630192,Zeke Nnaji,8.55,4.58,0.69,7,6,1,0,3,22400846
1610612743,DEN,Denver,1631124,Julian Strawther,19.80,4.56,1.59,21,10,2,6,0,22400846
1610612743,DEN,Denver,201599,DeAndre Jordan,10.25,3.73,0.65,14,13,0,1,1,22400846
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,37.48,4.29,2.84,56,35,5,10,7,22400846
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,32.62,4.05,2.35,78,44,10,13,1,22400846
1610612749,MIL,Milwaukee,201572,Brook Lopez,37.30,3.99,2.66,49,28,7,9,16,22400846
1610612749,MIL,Milwaukee,1627752,Taurean Prince,29.77,4.13,2.19,33,26,2,5,5,22400846
1610612749,MIL,Milwaukee,203081,Damian Lillard,35.32,4.17,2.64,75,56,3,6,2,22400846
1610612749,MIL,Milwaukee,1631260,AJ Green,19.67,4.75,1.64,25,21,0,4,6,22400846
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,24.47,3.94,1.72,23,14,2,6,5,22400846
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,12.68,4.51,0.99,23,17,1,3,2,22400846
1610612749,MIL,Milwaukee,1630579,Jericho Sims,10.70,4.21,0.78,18,13,1,3,0,22400846
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,34.38,4.04,2.58,36,23,4,6,3,22400831
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,31.73,4.02,2.37,77,53,11,6,1,22400831
1610612749,MIL,Milwaukee,201572,Brook Lopez,35.27,3.57,2.32,51,40,2,8,11,22400831
1610612749,MIL,Milwaukee,1627752,Taurean Prince,25.27,4.24,1.86,23,16,0,5,0,22400831
1610612749,MIL,Milwaukee,203081,Damian Lillard,36.88,3.96,2.69,89,59,6,16,1,22400831
1610612749,MIL,Milwaukee,1631260,AJ Green,32.75,4.17,2.56,46,38,2,6,2,22400831
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,19.82,3.71,1.3,14,7,1,5,1,22400831
1610612749,MIL,Milwaukee,1630579,Jericho Sims,12.73,4.27,0.97,12,12,0,0,6,22400831
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,11.12,4.48,0.88,25,14,3,4,1,22400831
1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,0.05,3.2,0.01,0,0,0,0,0,22400831
1610612745,HOU,Houston,1628415,Dillon Brooks,34.50,3.89,2.49,42,28,1,12,3,22400831
1610612745,HOU,Houston,1631106,Tari Eason,32.47,4.01,2.4,47,31,5,7,2,22400831
1610612745,HOU,Houston,1630578,Alperen Sengun,35.15,3.9,2.5,61,39,9,7,7,22400831
1610612745,HOU,Houston,1630224,Jalen Green,37.07,4.25,2.86,75,49,7,13,1,22400831
1610612745,HOU,Houston,1641708,Amen Thompson,34.47,4.43,2.67,63,50,5,3,2,22400831
1610612745,HOU,Houston,1631095,Jabari Smith Jr.,33.33,3.91,2.41,39,20,3,7,2,22400831
1610612745,HOU,Houston,201145,Jeff Green,11.78,4.11,0.86,14,10,1,3,1,22400831
1610612745,HOU,Houston,1629111,Jock Landale,8.57,4.24,0.64,8,4,1,3,1,22400831
1610612745,HOU,Houston,1628988,Aaron Holiday,11.00,4.23,0.84,19,17,1,1,1,22400831
1610612745,HOU,Houston,1630256,Jae'Sean Tate,1.67,4.07,0.13,2,0,0,2,0,22400831
1610612745,HOU,Houston,203500,Steven Adams,0.00,0,0,0,0,0,0,0,22400831
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,34.42,4.38,2.68,60,36,5,14,1,22400799
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,19.30,4.11,1.42,57,33,7,2,3,22400799
1610612749,MIL,Milwaukee,201572,Brook Lopez,30.22,3.96,2.13,47,34,1,7,3,22400799
1610612749,MIL,Milwaukee,1631157,Ryan Rollins,33.67,4.62,2.77,67,52,4,6,0,22400799
1610612749,MIL,Milwaukee,1631260,AJ Green,37.15,4.54,2.99,54,44,3,6,4,22400799
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,30.12,4,2.14,39,23,4,9,0,22400799
1610612749,MIL,Milwaukee,1626192,Pat Connaughton,10.90,4.52,0.89,23,17,3,0,0,22400799
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,23.48,4.46,1.87,59,45,5,5,2,22400799
1610612749,MIL,Milwaukee,1630579,Jericho Sims,17.78,4.38,1.39,21,20,0,0,4,22400799
1610612749,MIL,Milwaukee,1641748,Andre Jackson Jr.,2.98,4.97,0.26,3,2,1,0,0,22400799
1610612764,WAS,Washington,1642273,Kyshawn George,34.35,4.45,2.73,63,50,3,8,2,22400799
1610612764,WAS,Washington,1641731,Bilal Coulibaly,30.77,4.41,2.42,39,30,3,4,5,22400799
1610612764,WAS,Washington,1642259,Alex Sarr,25.93,4.51,2.09,59,35,5,14,8,22400799
1610612764,WAS,Washington,203114,Khris Middleton,24.53,4.49,1.97,34,20,5,5,0,22400799
1610612764,WAS,Washington,1629673,Jordan Poole,31.02,4.2,2.32,64,46,5,6,2,22400799
1610612764,WAS,Washington,1642267,Bub Carrington,23.47,4.38,1.82,55,42,1,6,1,22400799
1610612764,WAS,Washington,1630557,Corey Kispert,23.22,4.37,1.8,41,28,4,7,0,22400799
1610612764,WAS,Washington,203935,Marcus Smart,16.98,4.09,1.23,23,19,1,2,2,22400799
1610612764,WAS,Washington,1626158,Richaun Holmes,18.93,3.81,1.28,26,18,2,2,2,22400799
1610612764,WAS,Washington,1630551,Justin Champagnie,7.67,4.69,0.64,12,7,0,3,1,22400799
1610612764,WAS,Washington,1641774,Tristan Vukcevic,3.13,3.99,0.23,9,6,0,1,1,22400799
1610612746,LAC,LA,1629599,Amir Coffey,30.12,4.03,2.21,21,12,3,4,3,22400793
1610612746,LAC,LA,202695,Kawhi Leonard,32.40,4.02,2.33,65,39,4,18,2,22400793
1610612746,LAC,LA,1627826,Ivica Zubac,36.85,3.85,2.51,61,39,9,4,7,22400793
1610612746,LAC,LA,1627739,Kris Dunn,30.70,4.39,2.45,58,50,2,3,0,22400793
1610612746,LAC,LA,201935,James Harden,38.78,3.52,2.49,104,72,12,9,3,22400793
1610612746,LAC,LA,1627884,Derrick Jones Jr.,20.13,4.26,1.54,24,19,2,2,3,22400793
1610612746,LAC,LA,1627732,Ben Simmons,20.07,4.02,1.44,41,37,3,0,0,22400793
1610612746,LAC,LA,203992,Bogdan BogdanoviÄ‡,19.80,4.34,1.57,39,26,4,6,0,22400793
1610612746,LAC,LA,201587,Nicolas Batum,11.17,4.39,0.96,12,9,0,3,2,22400793
1610612749,MIL,Milwaukee,1628398,Kyle Kuzma,37.10,4.18,2.82,55,40,2,8,1,22400793
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,23.75,3.97,1.68,56,32,4,10,3,22400793
1610612749,MIL,Milwaukee,201572,Brook Lopez,30.75,3.69,2.07,50,34,5,9,5,22400793
1610612749,MIL,Milwaukee,1627752,Taurean Prince,30.73,3.89,2.17,43,27,4,5,3,22400793
1610612749,MIL,Milwaukee,203081,Damian Lillard,32.55,4.05,2.4,75,55,2,10,3,22400793
1610612749,MIL,Milwaukee,1629018,Gary Trent Jr.,22.13,3.69,1.47,21,13,1,5,2,22400793
1610612749,MIL,Milwaukee,1631260,AJ Green,30.28,4.29,2.37,37,29,0,8,2,22400793
1610612749,MIL,Milwaukee,1630579,Jericho Sims,17.25,4.36,1.35,17,17,0,0,1,22400793
1610612749,MIL,Milwaukee,1629645,Kevin Porter Jr.,15.45,4.45,1.22,31,20,3,4,1,22400793
1610612749,MIL,Milwaukee,1627752,Taurean Prince,29.83,4.21,2.19,42,28,4,10,6,22400684
1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,34.00,4.07,2.43,83,48,8,15,3,22400684
